country_name,country_code,wb_region,year,year_trend,gdp_per_capita_usd,log_gdp_per_capita,population_total,log_population_total,life_expectancy_years,inflation_pct_clean,unemployment_pct_clean,internet_users_pct_clean,asian_financial_crisis_9798,global_financial_crisis_0809,model_name,target_year,predicted_gdp_next_year,compare_model
Viet Nam,VNM,East Asia & Pacific,2037,77,8603.196855237407,9.05988914052129,110242889.03951296,18.518196571703292,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2038,8969.21243257106,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2038,78,8969.21243257106,9.10155315103888,110985582.58465175,18.52491086421585,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2039,9342.504983598441,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2039,79,9342.504983598441,9.142329694792565,111733279.56998374,18.531625156728413,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2040,9722.885108965118,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2023,63,4323.35031982451,8.371785917661148,100352192.0,18.42419647651564,74.588,3.25289282667662,1.645,78.08,0,0,Model 3,2024,4491.934204078596,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2024,64,4491.934204078596,8.41003866839545,101028253.06860897,18.43091076904002,74.588,3.25289282667662,1.645,80.95432965916676,0,0,Model 3,2025,4658.141411388845,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2025,65,4658.141411388845,8.446371808804601,101708868.68095754,18.437625061552577,74.588,3.25289282667662,1.645,83.8286592521976,0,0,Model 3,2026,4821.385287391363,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2026,66,4821.385287391363,8.480816569775126,102394069.52167282,18.44433935406514,74.588,3.25289282667662,1.645,86.70298884522845,0,0,Model 3,2027,4981.088269114992,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2027,67,4981.088269114992,8.513403674079685,103083886.48090528,18.451053646577698,74.588,3.25289282667662,1.645,89.57731843825928,0,0,Model 3,2028,5136.6856980738285,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2028,68,5136.6856980738285,8.544163344650316,103778350.65690984,18.457767939090257,74.588,3.25289282667662,1.645,92.45164803129013,0,0,Model 3,2029,5287.62948905537,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2029,69,5287.62948905537,8.573125312710529,104477493.35744639,18.464482231602815,74.588,3.25289282667662,1.645,95.32597762432097,0,0,Model 3,2030,5433.391620535403,Model 3 - OLS
